iter	RMSE
0	19182.15577
1	16274.26273
2	13901.29288
3	11991.17265
4	10442.22523
5	9212.443512
6	8252.584961
7	7500.47852
8	6907.582371
9	6455.823318
10	6112.709412
11	5857.370132
12	5632.183766
13	5484.469445
14	5367.922778
15	5285.983613
16	5199.005768
17	5136.89763
18	5093.413582
19	5059.577082
20	5006.956211
21	4977.459996
22	4953.650319
23	4931.024517
24	4894.511043
25	4863.361411
26	4844.102233
27	4828.788773
28	4805.378611
29	4791.925159
30	4778.127192
31	4767.835077
32	4745.747601
33	4734.440237
34	4728.427958
35	4711.310417
36	4698.335035
37	4685.416122
38	4680.086964
39	4671.658826
40	4665.418956
41	4653.289786
42	4649.375525
43	4639.166336
44	4626.215037
45	4616.121013
46	4604.213229
47	4598.233276
48	4594.385332
49	4585.852254
50	4570.725392
51	4560.648869
52	4555.480972
53	4549.650705
54	4542.414513
55	4533.140515
56	4529.820185
57	4519.215777
58	4515.721463
59	4509.390624
60	4498.110344
61	4489.330854
62	4477.436357
63	4474.679706
64	4468.742464
65	4460.044558
66	4455.363951
67	4443.411615
68	4440.882165
69	4436.942284
70	4424.077454
71	4419.135165
72	4412.032958
73	4407.19236
74	4399.882268
75	4392.220966
76	4388.821134
77	4384.774578
78	4381.340598
79	4379.479171
80	4373.273582
81	4369.194367
82	4359.891044
83	4356.817612
84	4345.242316
85	4341.127351
86	4338.013654
87	4334.775103
88	4331.494689
89	4326.877968
90	4321.746991
91	4319.830788
92	4316.259939
93	4314.456209
94	4311.516835
95	4305.645616
96	4304.40568
97	4297.097814
98	4288.183865
99	4286.302287
100	4282.141712
101	4280.369111
102	4278.00098
103	4276.660825
104	4274.410527
105	4269.427575
106	4266.241405
107	4263.464651
108	4259.682307
109	4252.94762
110	4251.437434
111	4245.319516
112	4243.229667
113	4238.979625
114	4236.172871
115	4234.471852
116	4233.209257
117	4229.503792
118	4226.897157
119	4225.99711
120	4221.947446
121	4219.975586
122	4216.873803
123	4210.342233
124	4206.066683
125	4201.836499
126	4197.054827
127	4195.269095
128	4190.978877
129	4187.420596
130	4185.500152
131	4181.896071
132	4179.907997
133	4178.111039
134	4176.280117
135	4174.362129
136	4172.639884
137	4169.274076
138	4163.211559
139	4160.956317
140	4159.141622
141	4157.459398
142	4154.155749
143	4148.926631
144	4146.904952
145	4145.205258
146	4142.255369
147	4139.81086
148	4138.881495
149	4135.870644
150	4133.34996
151	4129.862231
152	4127.565973
153	4125.550868
154	4124.592274
155	4122.554892
156	4120.905346
157	4119.40786
158	4117.475108
159	4115.305002
160	4113.578998
161	4112.44837
162	4109.654306
163	4107.861841
164	4106.972391
165	4105.872225
166	4101.824779
167	4100.776061
168	4098.483759
169	4097.695396
170	4095.144506
171	4091.797767
172	4090.511549
173	4089.909628
174	4089.165014
175	4086.082876
176	4081.412169
177	4079.844371
178	4077.583034
179	4076.731644
180	4071.516994
181	4068.836512
182	4066.974292
183	4064.003
184	4060.416009
185	4059.115439
186	4057.167767
187	4056.389684
188	4053.432345
189	4052.166953
190	4050.565594
191	4049.022632
192	4047.795267
193	4047.079354
194	4046.016656
195	4044.804769
196	4042.060329
197	4041.657386
198	4040.414364
199	4039.155057
200	4037.014081
201	4036.036115
202	4034.45085
203	4032.709859
204	4028.666631
205	4026.181644
206	4025.028455
207	4021.889756
208	4020.934324
209	4020.054876
210	4016.268201
211	4014.941815
212	4012.830714
213	4012.344978
214	4009.493365
215	4006.406054
216	4002.599089
217	4001.343831
218	3997.959735
219	3997.40766
220	3996.067454
221	3995.172125
222	3994.427731
223	3991.888602
224	3989.622122
