iter	Passed	Remaining
0	27	2711
1	53	2601
2	78	2541
3	104	2505
4	129	2467
5	157	2470
6	185	2469
7	221	2548
8	247	2506
9	276	2491
10	304	2464
11	333	2448
12	357	2392
13	386	2371
14	415	2352
15	443	2330
16	472	2308
17	499	2273
18	527	2249
19	559	2238
20	586	2208
21	614	2179
22	643	2153
23	671	2127
24	699	2099
25	732	2083
26	760	2054
27	788	2027
28	813	1992
29	842	1965
30	871	1938
31	902	1917
32	930	1889
33	958	1859
34	1023	1900
35	1070	1903
36	1106	1883
37	1150	1877
38	1191	1863
39	1222	1833
40	1249	1797
41	1281	1769
42	1313	1740
43	1342	1708
44	1380	1686
45	1410	1655
46	1438	1621
47	1476	1599
48	1512	1574
49	1560	1560
50	1596	1533
51	1633	1508
52	1681	1491
53	1727	1471
54	1771	1449
55	1815	1426
56	1853	1398
57	1900	1376
58	1946	1352
59	1989	1326
60	2034	1301
61	2078	1273
62	2123	1247
63	2178	1225
64	2220	1195
65	2257	1162
66	2298	1132
67	2350	1105
68	2404	1080
69	2445	1048
70	2489	1016
71	2520	980
72	2555	945
73	2586	908
74	2616	872
75	2686	848
76	2719	812
77	2760	778
78	2821	750
79	2879	719
80	2959	694
81	3065	672
82	3115	638
83	3172	604
84	3227	569
85	3259	530
86	3341	499
87	3431	467
88	3511	434
89	3581	397
90	3657	361
91	3734	324
92	3812	286
93	3868	246
94	3913	205
95	3950	164
96	3994	123
97	4032	82
98	4059	41
99	4091	0
